id,char,pinyin,pinyin_num,shengmu,yunmu,shengdiao,yinjie,source_index,other_pinyin,record_hint,coverage_tag,note
0059,游,yóu,you2,0,iou,2,you,2766,,读 yóu,核心覆盖,
0060,有,yǒu,you3,0,iou,3,you,390,,读 yǒu,核心覆盖,
0061,又,yòu,you4,0,iou,4,you,21,,读 yòu,核心覆盖,
0062,哟,yō,yo1,0,o,1,yo,1516,,读 yō，yo 为轻声不录,核心覆盖,
0063,哦,ó,o2,0,o,2,o,1908,é，ò,用户自主,核心覆盖,
0064,欧,ōu,ou1,0,ou,1,ou,1053,,读 ōu,核心覆盖,
0065,偶,ǒu,ou3,0,ou,3,ou,2328,,读 ǒu,核心覆盖,
0066,乌,wū,wu1,0,u,1,wu,157,,读 wū,核心覆盖,
0067,无,wú,wu2,0,u,2,wu,81,mó,读 wú，不读 mó,核心覆盖,
0068,午,wǔ,wu3,0,u,3,wu,119,,读 wǔ,核心覆盖,
0069,物,wù,wu4,0,u,4,wu,1127,,读 wù,核心覆盖,
0070,挖,wā,wa1,0,ua,1,wa,1394,,读 wā,核心覆盖,
0071,娃,wá,wa2,0,ua,2,wa,1735,,读 wá,核心覆盖,
0072,瓦,wǎ,wa3,0,ua,3,wa,108,wà,读 wǎ，不读 wà,核心覆盖,
0073,袜,wà,wa4,0,ua,4,wa,2115,,读 wà,核心覆盖,
0074,歪,wāi,wai1,0,uai,1,wai,1445,,读 wāi,核心覆盖,
0075,外,wài,wai4,0,uai,4,wai,293,,读 wài,核心覆盖,
0076,弯,wān,wan1,0,uan,1,wan,1616,,读 wān,核心覆盖,
0077,完,wán,wan2,0,uan,2,wan,877,,读 wán,核心覆盖,
0078,晚,wǎn,wan3,0,uan,3,wan,2270,,读 wǎn,核心覆盖,
0079,万,wàn,wan4,0,uan,4,wan,35,mò,读 wàn，不读 mò,核心覆盖,
0080,汪（水汪汪）,wāng,wang1,0,uang,1,wang,855,,读 wāng,缺口替代,常用度较低，作组合覆盖用
0081,亡,wáng,wang2,0,uang,2,wang,54,,读 wáng,核心覆盖,
0082,往,wǎng,wang3,0,uang,3,wang,1160,,读 wǎng,核心覆盖,
0083,望,wàng,wang4,0,uang,4,wang,2394,,读 wàng,核心覆盖,
0084,危,wēi,wei1,0,uei,1,wei,499,,读 wēi,核心覆盖,
0085,围,wéi,wei2,0,uei,2,wei,728,,读 wéi,核心覆盖,
0086,伟,wěi,wei3,0,uei,3,wei,454,,读 wěi,核心覆盖,
0087,位,wèi,wei4,0,uei,4,wei,784,,读 wèi,核心覆盖,
0088,温,wēn,wen1,0,uen,1,wen,2757,,读 wēn,核心覆盖,
0089,文,wén,wen2,0,uen,2,wen,161,,读 wén,核心覆盖,
0090,吻,wěn,wen3,0,uen,3,wen,743,,读 wěn,核心覆盖,
0091,问,wèn,wen4,0,uen,4,wen,528,,读 wèn,核心覆盖,
0092,翁（塞翁失马）,wēng,weng1,0,ueng,1,weng,1992,,读 wēng,缺口替代,常用度较低，作组合覆盖用
0093,窝,wō,wo1,0,uo,1,wo,2784,,读 wō,核心覆盖,
0094,我,wǒ,wo3,0,uo,3,wo,761,,读 wǒ,核心覆盖,
0095,卧,wò,wo4,0,uo,4,wo,1037,,读 wò,核心覆盖,
0096,迂（迂回）,yū,yu1,0,ü,1,yu,350,,读 yū,缺口替代,易误读：读 yū，不读 yú；常用度较低，作组合覆盖用
0097,于,yú,yu2,0,ü,2,yu,24,,读 yú,核心覆盖,
0098,雨,yǔ,yu3,0,ü,3,yu,1041,,读 yǔ,核心覆盖,
0099,预,yù,yu4,0,ü,4,yu,2148,,读 yù,核心覆盖,
0100,渊,yuān,yuan1,0,üan,1,yuan,2010,,读 yuān,核心覆盖,
0101,源,yuán,yuan2,0,üan,2,yuan,3008,,读 yuán,核心覆盖,
0102,远,yuǎn,yuan3,0,üan,3,yuan,608,,读 yuǎn,核心覆盖,
0103,愿,yuàn,yuan4,0,üan,4,yuan,3094,,读 yuàn,核心覆盖,
0104,约,yuē,yue1,0,üe,1,yue,593,yāo,读 yuē，不读 yāo,核心覆盖,
0105,月,yuè,yue4,0,üe,4,yue,150,,读 yuè,核心覆盖,
0106,晕,yūn,yun1,0,ün,1,yun,1897,yùn,读 yūn，不读 yùn,核心覆盖,
0107,云,yún,yun2,0,ün,2,yun,82,,读 yún,核心覆盖,
0108,允,yǔn,yun3,0,ün,3,yun,183,,读 yǔn,核心覆盖,
0109,运,yùn,yun4,0,ün,4,yun,611,,读 yùn,核心覆盖,
0110,吧,bā,ba1,b,a,1,ba,747,,读 bā，ba 为轻声不录,核心覆盖,
0111,拔,bá,ba2,b,a,2,ba,959,,读 bá,核心覆盖,
0112,把,bǎ,ba3,b,a,3,ba,655,bà,读 bǎ，不读 bà,核心覆盖,
0113,爸,bà,ba4,b,a,4,ba,655,,读 bà，不读 bǎ,核心覆盖,
0114,掰,bāi,bai1,b,ai,1,bai,2668,,读 bāi,缺口替代,常用度较低，作组合覆盖用
0115,白,bái,bai2,b,ai,2,bai,275,,读 bái,核心覆盖,
0116,摆,bǎi,bai3,b,ai,3,bai,2838,,读 bǎi,核心覆盖,
0117,败,bài,bai4,b,ai,4,bai,1113,,读 bài,核心覆盖,
0118,般,bān,ban1,b,an,1,ban,1980,,读 bān,核心覆盖,
0119,板,bǎn,ban3,b,an,3,ban,1025,,读 bǎn,核心覆盖,
0120,伴,bàn,ban4,b,an,4,ban,785,,读 bàn,核心覆盖,
0121,帮,bāng,bang1,b,ang,1,bang,1356,,读 bāng,核心覆盖,
0122,榜,bǎng,bang3,b,ang,3,bang,3081,,读 bǎng,核心覆盖,
0123,棒,bàng,bang4,b,ang,4,bang,2696,,读 bàng,核心覆盖,
0124,胞,bāo,bao1,b,ao,1,bao,1595,,读 bāo,核心覆盖,
0125,雹（冰雹）,báo,bao2,b,ao,2,bao,3326,,读 báo,缺口替代,常用度较低，作组合覆盖用
0126,保,bǎo,bao3,b,ao,3,bao,1562,,读 bǎo,核心覆盖,
0127,报,bào,bao4,b,ao,4,bao,656,,读 bào,核心覆盖,
0128,悲,bēi,bei1,b,ei,1,bei,2603,,读 bēi,核心覆盖,
0129,北,běi,bei3,b,ei,3,bei,227,,读 běi,核心覆盖,
0130,被,bèi,bei4,b,ei,4,bei,2118,,读 bèi,核心覆盖,
0131,奔,bēn,ben1,b,en,1,ben,1049,bèn,读 bēn，不读 bèn,核心覆盖,
0132,本,běn,ben3,b,en,3,ben,210,,读 běn,核心覆盖,
0133,笨,bèn,ben4,b,en,4,ben,2317,,读 bèn,核心覆盖,
0134,崩,bēng,beng1,b,eng,1,beng,2298,,读 bēng,核心覆盖,
0135,蹦,bèng,beng4,b,eng,4,beng,3442,,读 bèng,核心覆盖,
0136,逼,bī,bi1,b,i,1,bi,2582,,读 bī,核心覆盖,
0137,鼻,bí,bi2,b,i,2,bi,3128,,读 bí,核心覆盖,
0138,比,bǐ,bi3,b,i,3,bi,105,,读 bǐ,核心覆盖,
0139,必,bì,bi4,b,i,4,bi,321,,读 bì,核心覆盖,
0140,边,biān,bian1,b,ian,1,bian,337,,读 biān,核心覆盖,
0141,扁,biǎn,bian3,b,ian,3,bian,1708,piān,读 biǎn，不读 piān,核心覆盖,
0142,变,biàn,bian4,b,ian,4,bian,1204,,读 biàn,核心覆盖,
0143,标,biāo,biao1,b,iao,1,biao,1424,,读 biāo,核心覆盖,
0144,表,biǎo,biao3,b,iao,3,biao,951,,读 biǎo,核心覆盖,
0145,憋,biē,bie1,b,ie,1,bie,3289,,读 biē,核心覆盖,
0146,别,bié,bie2,b,ie,2,bie,751,biè,读 bié，不读 biè,核心覆盖,
0147,瘪（干瘪）,biě,bie3,b,ie,3,bie,3281,biē,读 biě，不读 biē,核心覆盖,常用度较低，作组合覆盖用
0148,宾,bīn,bin1,b,in,1,bin,2102,,读 bīn,核心覆盖,
0149,鬓（鬓角）,bìn,bin4,b,in,4,bin,3473,,读 bìn,缺口替代,常用度较低，作组合覆盖用
0150,冰,bīng,bing1,b,ing,1,bing,513,,读 bīng,核心覆盖,
0151,饼,bǐng,bing3,b,ing,3,bing,1614,,读 bǐng,核心覆盖,
0152,病,bìng,bing4,b,ing,4,bing,2027,,读 bìng,核心覆盖,
0153,拨,bō,bo1,b,o,1,bo,991,,读 bō,核心覆盖,
0154,伯,bó,bo2,b,o,2,bo,778,bǎi,读 bó，不读 bǎi,核心覆盖,
0155,跛（跛脚）,bǒ,bo3,b,o,3,bo,2632,,读 bǒ,缺口替代,常用度较低，作组合覆盖用
0156,簸（簸箕bò ji）,bò,bo4,b,o,4,bo,3326,,读 bò,缺口替代,常用度较低，作组合覆盖用
0157,补,bǔ,bu3,b,u,3,bu,888,,读 bǔ,核心覆盖,
0158,不,bù,bu4,b,u,4,bu,91,,读 bù,核心覆盖,
0159,擦,cā,ca1,c,a,1,ca,3389,,读 cā,核心覆盖,
0160,猜,cāi,cai1,c,ai,1,cai,2364,,读 cāi,核心覆盖,
0161,材,cái,cai2,c,ai,2,cai,681,,读 cái,核心覆盖,
0162,采,cǎi,cai3,c,ai,3,cai,1172,cài,读 cǎi，不读 cài,核心覆盖,
0163,菜,cài,cai4,c,ai,4,cai,2207,,读 cài,核心覆盖,
0164,餐,cān,can1,c,an,1,can,3341,,读 cān,核心覆盖,
0165,残,cán,can2,c,an,2,can,1460,,读 cán,核心覆盖,
0166,惨,cǎn,can3,c,an,3,can,2449,,读 cǎn,核心覆盖,
0167,灿（灿烂）,càn,can4,c,an,4,can,852,,读 càn,缺口替代,常用度较低，作组合覆盖用
0168,仓,cāng,cang1,c,ang,1,cang,149,,读 cāng,核心覆盖,
0169,藏,cáng,cang2,c,ang,2,cang,3392,zàng,读 cáng，不读 zàng,核心覆盖,
0170,操（操场）,cāo,cao1,c,ao,1,cao,3317,,读 cāo,核心覆盖,易误读
0171,槽,cáo,cao2,c,ao,2,cao,3214,,读 cáo,核心覆盖,
0172,草,cǎo,cao3,c,ao,3,cao,1408,,读 cǎo,核心覆盖,
0173,册,cè,ce4,c,e,4,ce,290,,读 cè,核心覆盖,
0174,参（参差不齐）,cēn,cen1,c,en,1,cen,1334,cān，shēn,读 cēn，不读 cān、shēn,核心覆盖,易误读
0175,层,céng,ceng2,c,eng,2,ceng,902,,读 céng,核心覆盖,
0176,蹭（磨蹭）,cèng,ceng4,c,eng,4,ceng,3459,,读 cèng,核心覆盖,易误读
0177,疵（瑕疵）,cī,ci1,c,i,1,ci,1640,,读 cī,缺口替代,
0178,词,cí,ci2,c,i,2,ci,897,,读 cí,核心覆盖,
0179,此,cǐ,ci3,c,i,3,ci,411,,读 cǐ,核心覆盖,
0180,次,cì,ci4,c,i,4,ci,521,,读 cì,核心覆盖,
0181,聪,cōng,cong1,c,ong,1,cong,3206,,读 cōng,核心覆盖,
0182,从,cóng,cong2,c,ong,2,cong,142,,读 cóng,核心覆盖,
0183,凑,còu,cou4,c,ou,4,cou,2374,,读 còu,核心覆盖,
0184,粗,cū,cu1,c,u,1,cu,2403,,读 cū,核心覆盖,
0185,促,cù,cu4,c,u,4,cu,1563,,读 cù,核心覆盖,
0186,窜（逃窜）,cuàn,cuan4,c,uan,4,cuan,2783,,读 cuàn,核心覆盖,易误读
0187,催,cuī,cui1,c,uei,1,cui,2959,,读 cuī,核心覆盖,
0188,脆,cuì,cui4,c,uei,4,cui,1994,,读 cuì,核心覆盖,
0189,村,cūn,cun1,c,uen,1,cun,682,,读 cūn,核心覆盖,
0190,存,cún,cun2,c,uen,2,cun,391,,读 cún,核心覆盖,
0191,寸,cùn,cun4,c,uen,4,cun,31,,读 cùn,核心覆盖,
0192,搓,cuō,cuo1,c,uo,1,cuo,2534,,读 cuō,核心覆盖,
0193,错,cuò,cuo4,c,uo,4,cuo,2936,,读 cuò,核心覆盖,
0194,插,chā,cha1,ch,a,1,cha,2526,,读 chā,核心覆盖,
0195,察,chá,cha2,ch,a,2,cha,3174,,读 chá,核心覆盖,
0196,叉（叉着腰）,chǎ,cha3,ch,a,3,cha,71,chā，chá，chà,读 chǎ，不读 chā、chá、chà,核心覆盖,
0197,差,chà,cha4,ch,a,4,cha,1640,,读 chà，不读 chā、chāi、cī,核心覆盖,
0198,拆,chāi,chai1,ch,ai,1,chai,972,,读 chāi,核心覆盖,
0199,柴,chái,chai2,ch,ai,2,chai,1880,,读 chái,核心覆盖,
0200,搀,chān,chan1,ch,an,1,chan,2531,,读 chān,核心覆盖,
0201,缠,chán,chan2,ch,an,2,chan,3046,,读 chán,核心覆盖,
0202,产,chǎn,chan3,ch,an,3,chan,522,,读 chǎn,核心覆盖,
0203,颤,chàn,chan4,ch,an,4,chan,3465,,读 chàn,核心覆盖,
0204,昌,chāng,chang1,ch,ang,1,chang,1084,,读 chāng,核心覆盖,
0205,常,cháng,chang2,ch,ang,2,chang,2257,,读 cháng,核心覆盖,
0206,场,chǎng,chang3,ch,ang,3,chang,367,cháng,读 chǎng，不读 cháng,核心覆盖,
0207,畅,chàng,chang4,ch,ang,4,chang,1086,,读 chàng,核心覆盖,
0208,超,chāo,chao1,ch,ao,1,chao,2517,,读 chāo,核心覆盖,
0209,巢,cháo,chao2,ch,ao,2,chao,2500,,读 cháo,核心覆盖,
0210,炒,chǎo,chao3,ch,ao,3,chao,1234,,读 chǎo,核心覆盖,
0211,车,chē,che1,ch,e,1,che,100,jū,读 chē，不读 jū,核心覆盖,
0212,扯,chě,che3,ch,e,3,che,624,,读 chě,核心覆盖,
0213,撤,chè,che4,ch,e,4,che,3203,,读 chè,核心覆盖,
0214,晨,chén,chen2,ch,en,2,chen,2260,,读 chén,核心覆盖,
0215,衬,chèn,chen4,ch,en,4,chen,1292,,读 chèn,核心覆盖,
0216,称,chēng,cheng1,ch,eng,1,cheng,1948,chèn,读 chēng，不读 chèn,核心覆盖,
0217,成,chéng,cheng2,ch,eng,2,cheng,401,,读 chéng,核心覆盖,
0218,逞,chěng,cheng3,ch,eng,3,cheng,1886,,读 chěng,核心覆盖,
0219,秤,chèng,cheng4,ch,eng,4,cheng,1943,,读 chèng,核心覆盖,
0220,痴,chī,chi1,ch,i,1,chi,2990,,读 chī,核心覆盖,
0221,池,chí,chi2,ch,i,2,chi,540,,读 chí,核心覆盖,
0222,齿,chǐ,chi3,ch,i,3,chi,1068,,读 chǐ,核心覆盖,
0223,斥,chì,chi4,ch,i,4,chi,278,,读 chì,核心覆盖,
0224,充,chōng,chong1,ch,ong,1,chong,525,,读 chōng,核心覆盖,
0225,重（重叠）,chóng,chong2,ch,ong,2,chong,1552,zhòng,读 chóng，不读 zhòng,核心覆盖,易误读
0226,宠,chǒng,chong3,ch,ong,3,chong,1277,,读 chǒng,核心覆盖,
0227,冲（冲着）,chòng,chong4,ch,ong,4,chong,511,chōng,读 chòng，不读 chōng,核心覆盖,
0228,抽,chōu,chou1,ch,ou,1,chou,966,,读 chōu,核心覆盖,
0229,筹（筹码）,chóu,chou2,ch,ou,2,chou,2952,,读 chóu,核心覆盖,
0230,丑,chǒu,chou3,ch,ou,3,chou,177,,读 chǒu,核心覆盖,
0231,臭,chòu,chou4,ch,ou,4,chou,1970,xiù,读 chòu，不读 xiù,核心覆盖,
0232,出,chū,chu1,ch,u,1,chu,330,,读 chū,核心覆盖,
0233,除,chú,chu2,ch,u,2,chu,1732,,读 chú,核心覆盖,
0234,础（基础）,chǔ,chu3,ch,u,3,chu,1866,,读 chǔ,核心覆盖,
0235,触,chù,chu4,ch,u,4,chu,2980,,读 chù,核心覆盖,
0236,揣（怀揣）,chuāi,chuai1,ch,uai,1,chuai,2525,chuǎi，chuài,读 chuāi，不读 chuǎi、chuài,核心覆盖,常用度较低，作组合覆盖用
0237,揣（揣测）,chuǎi,chuai3,ch,uai,3,chuai,2525,chuāi，chuài,读 chuǎi，不读 chuāi、chuài,缺口替代,常用度较低，作组合覆盖用
0238,踹（踹开）,chuài,chuai4,ch,uai,4,chuai,2525,,读 chuài,缺口替代,常用度较低，作组合覆盖用
0239,川,chuān,chuan1,ch,uan,1,chuan,43,,读 chuān,核心覆盖,
0240,船,chuán,chuan2,ch,uan,2,chuan,2345,,读 chuán,核心覆盖,
0241,喘,chuǎn,chuan3,ch,uan,3,chuan,2642,,读 chuǎn,核心覆盖,
0242,串,chuàn,chuan4,ch,uan,4,chuan,736,,读 chuàn,核心覆盖,
0243,窗,chuāng,chuang1,ch,uang,1,chuang,2786,,读 chuāng,核心覆盖,
0244,床,chuáng,chuang2,ch,uang,2,chuang,831,,读 chuáng,核心覆盖,
0245,闯,chuǎng,chuang3,ch,uang,3,chuang,529,,读 chuǎng,核心覆盖,
0246,创,chuàng,chuang4,ch,uang,4,chuang,494,chuāng,读 chuàng，不读 chuāng,核心覆盖,
0247,吹,chuī,chui1,ch,uei,1,chui,744,,读 chuī,核心覆盖,
0248,垂,chuí,chui2,ch,uei,2,chui,1125,,读 chuí,核心覆盖,
0249,春,chūn,chun1,ch,uen,1,chun,1355,,读 chūn,核心覆盖,
0250,纯,chún,chun2,ch,uen,2,chun,931,,读 chún,核心覆盖,
0251,蠢,chǔn,chun3,ch,uen,3,chun,3488,,读 chǔn,核心覆盖,
0252,戳,chuō,chuo1,ch,uo,1,chuo,3451,,读 chuō,核心覆盖,
0253,绰（阔绰）,chuò,chuo4,ch,uo,4,chuo,2490,chāo,读 chuò，不读 chāo,核心覆盖,易误读
0254,搭,dā,da1,d,a,1,da,2687,,读 dā,核心覆盖,
0255,达,dá,da2,d,a,2,da,398,,读 dá,核心覆盖,
0256,打,dǎ,da3,d,a,3,da,196,dá,读 dǎ，不读 dá,核心覆盖,
0257,大,dà,da4,d,a,4,da,32,dài,读 dà，不读 dài,核心覆盖,
0258,待,dāi,dai1,d,ai,1,dai,1580,dài,读 dāi，不读 dài,核心覆盖,
0259,歹,dǎi,dai3,d,ai,3,dai,96,,读 dǎi,核心覆盖,
0260,代,dài,dai4,d,ai,4,dai,271,,读 dài,核心覆盖,
0261,单（单独）,dān,dan1,d,an,1,dan,1232,chán，shàn,读 dān，不读 chán、shàn,核心覆盖,
0262,胆,dǎn,dan3,d,an,3,dan,1593,,读 dǎn,核心覆盖,
0263,但,dàn,dan4,d,an,4,dan,774,,读 dàn,核心覆盖,
0264,当（当然）,dāng,dang1,d,ang,1,dang,418,dàng,读 dāng，不读 dàng,核心覆盖,
0265,党,dǎng,dang3,d,ang,3,dang,1885,,读 dǎng,核心覆盖,
0266,档（文档）,dàng,dang4,d,ang,4,dang,1838,,读 dàng,核心覆盖,易误读：读 dàng，不读 dǎng
0267,刀,dāo,dao1,d,ao,1,dao,18,,读 dāo,核心覆盖,
0268,导,dǎo,dao3,d,ao,3,dao,567,,读 dǎo,核心覆盖,
0269,到,dào,dao4,d,ao,4,dao,1063,,读 dào,核心覆盖,
0270,德,dé,de2,d,e,2,de,2341,,读 dé,核心覆盖,
0271,得（得劲儿）,děi,dei3,d,ei,3,dei,2341,dé,读 děi，不读 dé，de 为轻声不录,核心覆盖,
0272,灯,dēng,deng1,d,eng,1,deng,534,,读 dēng,核心覆盖,
0273,等,děng,deng3,d,eng,3,deng,2681,,读 děng,核心覆盖,
0274,凳,dèng,deng4,d,eng,4,deng,3186,,读 dèng,核心覆盖,
0275,低,dī,di1,d,i,1,di,781,,读 dī,核心覆盖,
0276,笛,dí,di2,d,i,2,di,1155,,读 dí,核心覆盖,
0277,底,dǐ,di3,d,i,3,di,1212,,读 dǐ,核心覆盖,
0278,第,dì,di4,d,i,4,di,2322,,读 dì,核心覆盖,
0279,颠,diān,dian1,d,ian,1,dian,3327,,读 diān,核心覆盖,
0280,点,diǎn,dian3,d,ian,3,dian,1469,,读 diǎn,核心覆盖,
0281,电,diàn,dian4,d,ian,4,dian,242,,读 diàn,核心覆盖,
0282,叼,diāo,diao1,d,iao,1,diao,252,,读 diāo,核心覆盖,
0283,掉,diào,diao4,d,iao,4,diao,2170,,读 diào,核心覆盖,
0284,跌,diē,die1,d,ie,1,die,2630,,读 diē,核心覆盖,
0285,叠,dié,die2,d,ie,2,die,3043,,读 dié,核心覆盖,
0286,丁,dīng,ding1,d,ing,1,ding,5,,读 dīng,核心覆盖,
0287,顶,dǐng,ding3,d,ing,3,ding,971,,读 dǐng,核心覆盖,
0288,定,dìng,ding4,d,ing,4,ding,1276,,读 dìng,核心覆盖,
0289,丢,diū,diu1,d,iou,1,diu,447,,读 diū,核心覆盖,
0290,东,dōng,dong1,d,ong,1,dong,225,,读 dōng,核心覆盖,
0291,懂,dǒng,dong3,d,ong,3,dong,3300,,读 dǒng,核心覆盖,
0292,动,dòng,dong4,d,ong,4,dong,353,,读 dòng,核心覆盖,
0293,都（都行）,dōu,dou1,d,ou,1,dou,1801,dū,读 dōu，不读 dū,核心覆盖,
0294,斗（斗笠）,dǒu,dou3,d,ou,3,dou,166,dòu,读 dǒu，不读 dòu,核心覆盖,
0295,豆,dòu,dou4,d,ou,4,dou,696,,读 dòu,核心覆盖,
0296,都,dū,du1,d,u,1,du,1801,dōu,读 dū，不读 dōu,核心覆盖,
0297,独,dú,du2,d,u,2,du,1602,,读 dú,核心覆盖,
0298,堵,dǔ,du3,d,u,3,du,2161,,读 dǔ,核心覆盖,
0299,度,dù,du4,d,u,4,du,1622,duó,读 dù，不读 duó,核心覆盖,
0300,端,duān,duan1,d,uan,1,duan,3151,,读 duān,核心覆盖,
0301,短,duǎn,duan3,d,uan,3,duan,2669,,读 duǎn,核心覆盖,
0302,断,duàn,duan4,d,uan,4,duan,2405,,读 duàn,核心覆盖,
0303,堆,duī,dui1,d,uei,1,dui,2173,,读 duī,核心覆盖,
0304,对,duì,dui4,d,uei,4,dui,341,,读 duì,核心覆盖,
0305,吨,dūn,dun1,d,uen,1,dun,730,,读 dūn,核心覆盖,
0306,盹（打盹）,dǔn,dun3,d,uen,3,dun,1478,,读 dǔn,核心覆盖,
0307,顿,dùn,dun4,d,uen,4,dun,1877,,读 dùn,核心覆盖,
0308,多,duō,duo1,d,uo,1,duo,507,,读 duō,核心覆盖,
0309,夺,duó,duo2,d,uo,2,duo,396,,读 duó,核心覆盖,
0310,躲,duǒ,duo3,d,uo,3,duo,2962,,读 duǒ,核心覆盖,
0311,惰,duò,duo4,d,uo,4,duo,2772,,读 duò,核心覆盖,
0312,发（发放）,fā,fa1,f,a,1,fa,339,fà,读 fā，不读 fà,核心覆盖,
0313,乏,fá,fa2,f,a,2,fa,463,,读 fá,核心覆盖,
0314,法,fǎ,fa3,f,a,3,fa,1241,,读 fǎ,核心覆盖,
0315,发（头发）,fà,fa4,f,a,4,fa,339,fā,读 fà，不读 fā,核心覆盖,
0316,翻,fān,fan1,f,an,1,fan,3445,,读 fān,核心覆盖,
0317,烦,fán,fan2,f,an,2,fan,2059,,读 fán,核心覆盖,
0318,反,fǎn,fan3,f,an,3,fan,139,,读 fǎn,核心覆盖,
